0,"tf.Tensor(2.9873726, shape=(), dtype=float32)","tf.Tensor(1.9169779, shape=(), dtype=float32)","tf.Tensor(0.062279187, shape=(), dtype=float32)"
0,"tf.Tensor(1.8625287, shape=(), dtype=float32)","tf.Tensor(3.2183108, shape=(), dtype=float32)","tf.Tensor(0.041579396, shape=(), dtype=float32)"
0,"tf.Tensor(1.6439252, shape=(), dtype=float32)","tf.Tensor(0.9012939, shape=(), dtype=float32)","tf.Tensor(0.021602256, shape=(), dtype=float32)"
1,"tf.Tensor(1.8394934, shape=(), dtype=float32)","tf.Tensor(2.8599906, shape=(), dtype=float32)","tf.Tensor(0.00075296266, shape=(), dtype=float32)"
1,"tf.Tensor(1.3735523, shape=(), dtype=float32)","tf.Tensor(1.6811111, shape=(), dtype=float32)","tf.Tensor(0.00051761424, shape=(), dtype=float32)"
1,"tf.Tensor(2.5676455, shape=(), dtype=float32)","tf.Tensor(1.8999591, shape=(), dtype=float32)","tf.Tensor(0.00039841532, shape=(), dtype=float32)"
2,"tf.Tensor(3.6052887, shape=(), dtype=float32)","tf.Tensor(5.035388, shape=(), dtype=float32)","tf.Tensor(0.0003698238, shape=(), dtype=float32)"
2,"tf.Tensor(2.3753552, shape=(), dtype=float32)","tf.Tensor(1.798615, shape=(), dtype=float32)","tf.Tensor(0.00019969564, shape=(), dtype=float32)"
2,"tf.Tensor(1.7128901, shape=(), dtype=float32)","tf.Tensor(1.6787672, shape=(), dtype=float32)","tf.Tensor(0.00012368987, shape=(), dtype=float32)"
3,"tf.Tensor(1.5378432, shape=(), dtype=float32)","tf.Tensor(2.676144, shape=(), dtype=float32)","tf.Tensor(0.00010361991, shape=(), dtype=float32)"
3,"tf.Tensor(1.4263545, shape=(), dtype=float32)","tf.Tensor(1.8286434, shape=(), dtype=float32)","tf.Tensor(9.654954e-05, shape=(), dtype=float32)"
3,"tf.Tensor(1.380916, shape=(), dtype=float32)","tf.Tensor(1.8979421, shape=(), dtype=float32)","tf.Tensor(8.459885e-05, shape=(), dtype=float32)"
4,"tf.Tensor(1.3110569, shape=(), dtype=float32)","tf.Tensor(2.351872, shape=(), dtype=float32)","tf.Tensor(8.886037e-05, shape=(), dtype=float32)"
4,"tf.Tensor(1.3568094, shape=(), dtype=float32)","tf.Tensor(2.934216, shape=(), dtype=float32)","tf.Tensor(9.8486045e-05, shape=(), dtype=float32)"
4,"tf.Tensor(1.3337172, shape=(), dtype=float32)","tf.Tensor(2.409399, shape=(), dtype=float32)","tf.Tensor(0.0001038561, shape=(), dtype=float32)"
5,"tf.Tensor(1.3944871, shape=(), dtype=float32)","tf.Tensor(2.9207366, shape=(), dtype=float32)","tf.Tensor(0.0001431617, shape=(), dtype=float32)"
5,"tf.Tensor(1.921212, shape=(), dtype=float32)","tf.Tensor(4.549258, shape=(), dtype=float32)","tf.Tensor(0.00014185364, shape=(), dtype=float32)"
5,"tf.Tensor(1.95492, shape=(), dtype=float32)","tf.Tensor(3.3340688, shape=(), dtype=float32)","tf.Tensor(0.00015020529, shape=(), dtype=float32)"
6,"tf.Tensor(3.2746148, shape=(), dtype=float32)","tf.Tensor(2.5423784, shape=(), dtype=float32)","tf.Tensor(8.070627e-05, shape=(), dtype=float32)"
6,"tf.Tensor(2.7331557, shape=(), dtype=float32)","tf.Tensor(2.3211067, shape=(), dtype=float32)","tf.Tensor(0.000114241026, shape=(), dtype=float32)"
6,"tf.Tensor(1.2528386, shape=(), dtype=float32)","tf.Tensor(2.398958, shape=(), dtype=float32)","tf.Tensor(0.00011058495, shape=(), dtype=float32)"
7,"tf.Tensor(0.9364727, shape=(), dtype=float32)","tf.Tensor(3.892808, shape=(), dtype=float32)","tf.Tensor(8.006453e-05, shape=(), dtype=float32)"
7,"tf.Tensor(0.5748434, shape=(), dtype=float32)","tf.Tensor(3.9717135, shape=(), dtype=float32)","tf.Tensor(5.5003587e-05, shape=(), dtype=float32)"
7,"tf.Tensor(0.51067257, shape=(), dtype=float32)","tf.Tensor(3.1915948, shape=(), dtype=float32)","tf.Tensor(4.5815654e-05, shape=(), dtype=float32)"
8,"tf.Tensor(0.6503484, shape=(), dtype=float32)","tf.Tensor(3.8579593, shape=(), dtype=float32)","tf.Tensor(3.830824e-05, shape=(), dtype=float32)"
8,"tf.Tensor(0.62459123, shape=(), dtype=float32)","tf.Tensor(3.3403523, shape=(), dtype=float32)","tf.Tensor(3.243768e-05, shape=(), dtype=float32)"
8,"tf.Tensor(0.50515944, shape=(), dtype=float32)","tf.Tensor(2.8765364, shape=(), dtype=float32)","tf.Tensor(2.8587103e-05, shape=(), dtype=float32)"
9,"tf.Tensor(0.3474937, shape=(), dtype=float32)","tf.Tensor(4.5378895, shape=(), dtype=float32)","tf.Tensor(2.4045103e-05, shape=(), dtype=float32)"
9,"tf.Tensor(0.31744924, shape=(), dtype=float32)","tf.Tensor(3.1083028, shape=(), dtype=float32)","tf.Tensor(2.2296603e-05, shape=(), dtype=float32)"
9,"tf.Tensor(0.39558357, shape=(), dtype=float32)","tf.Tensor(4.96061, shape=(), dtype=float32)","tf.Tensor(1.7725655e-05, shape=(), dtype=float32)"
