epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.10349,1.45125,0.29375,1,1.40088,8.75e-05,8.75e-05,8.75e-05
2,2.87624,1.2841,0.55313,1,1.07666,0.000185644,0.000185644,0.000185644
3,3.91105,1.01279,0.65625,1,0.8623,0.000281807,0.000281807,0.000281807
4,4.68512,0.7761,0.725,1,0.69409,0.000375991,0.000375991,0.000375991
5,5.63522,0.58686,0.76562,1,0.66919,0.000468195,0.000468195,0.000468195
6,6.55823,0.4877,0.77188,1,0.64014,0.000558419,0.000558419,0.000558419
7,7.5743,0.37922,0.80313,1,0.51819,0.000646662,0.000646662,0.000646662
8,8.46473,0.325,0.80625,1,0.56104,0.000732926,0.000732926,0.000732926
9,9.49258,0.26976,0.79688,1,0.61084,0.00081721,0.00081721,0.00081721
10,10.4444,0.21463,0.8,1,0.59717,0.000899514,0.000899514,0.000899514
11,11.4253,0.18645,0.8,1,0.62109,0.000979838,0.000979838,0.000979838
12,12.4415,0.19753,0.78125,1,0.61108,0.00105818,0.00105818,0.00105818
13,13.5852,0.15317,0.79688,1,0.65869,0.0011015,0.0011015,0.0011015
14,14.4284,0.16063,0.78438,1,0.84717,0.00108913,0.00108913,0.00108913
15,15.3559,0.13262,0.825,1,0.59106,0.00107675,0.00107675,0.00107675
16,16.2847,0.13497,0.81875,1,0.63257,0.00106437,0.00106437,0.00106437
17,17.3636,0.13426,0.8125,1,0.67358,0.001052,0.001052,0.001052
18,18.2666,0.12783,0.80313,1,0.68066,0.00103962,0.00103962,0.00103962
19,19.2705,0.13938,0.80313,1,0.69751,0.00102725,0.00102725,0.00102725
20,20.3637,0.10507,0.77812,1,0.68945,0.00101488,0.00101488,0.00101488
21,21.209,0.11167,0.83438,1,0.58655,0.0010025,0.0010025,0.0010025
22,22.4435,0.11153,0.82812,1,0.62134,0.000990125,0.000990125,0.000990125
23,23.2387,0.09478,0.79375,1,0.67407,0.00097775,0.00097775,0.00097775
24,24.3178,0.09104,0.8,1,0.61523,0.000965375,0.000965375,0.000965375
25,25.1874,0.11203,0.81563,1,0.65918,0.000953,0.000953,0.000953
26,26.0663,0.09231,0.8,1,0.80469,0.000940625,0.000940625,0.000940625
27,27.1158,0.09306,0.8125,1,0.66064,0.00092825,0.00092825,0.00092825
28,28.0335,0.07642,0.80937,1,0.72949,0.000915875,0.000915875,0.000915875
29,29.114,0.07896,0.80937,1,0.80005,0.0009035,0.0009035,0.0009035
30,30.2397,0.06184,0.8,1,0.77612,0.000891125,0.000891125,0.000891125
31,31.1493,0.07078,0.82812,1,0.71851,0.00087875,0.00087875,0.00087875
32,32.0448,0.08591,0.81563,1,0.69019,0.000866375,0.000866375,0.000866375
33,33.1191,0.09023,0.82187,1,0.72046,0.000854,0.000854,0.000854
34,34.0292,0.08453,0.80937,1,0.63818,0.000841625,0.000841625,0.000841625
35,35.0943,0.07725,0.8125,1,0.60071,0.00082925,0.00082925,0.00082925
36,36.0928,0.07111,0.8125,1,0.78027,0.000816875,0.000816875,0.000816875
37,37.0719,0.08324,0.79062,1,0.83887,0.0008045,0.0008045,0.0008045
38,37.9543,0.06523,0.82812,1,0.79175,0.000792125,0.000792125,0.000792125
39,38.9176,0.05789,0.82187,1,0.76221,0.00077975,0.00077975,0.00077975
40,39.8975,0.04008,0.83125,1,0.78784,0.000767375,0.000767375,0.000767375
41,40.8319,0.04868,0.80625,1,0.64087,0.000755,0.000755,0.000755
42,41.8521,0.04824,0.8125,1,0.74243,0.000742625,0.000742625,0.000742625
43,43.1105,0.05275,0.80313,1,0.68213,0.00073025,0.00073025,0.00073025
44,43.9977,0.07317,0.80625,1,0.67603,0.000717875,0.000717875,0.000717875
45,44.8776,0.04604,0.79375,1,0.88745,0.0007055,0.0007055,0.0007055
46,45.7831,0.06986,0.81563,1,0.8501,0.000693125,0.000693125,0.000693125
47,46.7782,0.04199,0.81875,1,0.80054,0.00068075,0.00068075,0.00068075
48,47.5713,0.06532,0.82187,1,0.66821,0.000668375,0.000668375,0.000668375
49,48.655,0.04335,0.8,1,0.76245,0.000656,0.000656,0.000656
