epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.38294,1.40772,0.36562,1,1.32471,8.75e-05,8.75e-05,8.75e-05
2,3.16343,1.23808,0.54062,1,1.09619,0.000185644,0.000185644,0.000185644
3,4.25749,0.97481,0.7,1,0.79907,0.000281807,0.000281807,0.000281807
4,5.26211,0.7491,0.7375,1,0.61255,0.000375991,0.000375991,0.000375991
5,6.62216,0.57437,0.79375,1,0.64819,0.000468195,0.000468195,0.000468195
6,7.50194,0.44938,0.80313,1,0.57593,0.000558419,0.000558419,0.000558419
7,8.41252,0.38503,0.81875,1,0.54175,0.000646662,0.000646662,0.000646662
8,9.5091,0.34117,0.81875,1,0.59155,0.000732926,0.000732926,0.000732926
9,10.6678,0.26566,0.80937,1,0.56567,0.00081721,0.00081721,0.00081721
10,11.6886,0.24209,0.825,1,0.49768,0.000899514,0.000899514,0.000899514
11,12.7863,0.22869,0.83125,1,0.55493,0.000979838,0.000979838,0.000979838
12,13.8105,0.1989,0.775,1,0.73901,0.00105818,0.00105818,0.00105818
13,14.879,0.17673,0.8125,1,0.56348,0.0011015,0.0011015,0.0011015
14,16.0115,0.15595,0.82812,1,0.48474,0.00108913,0.00108913,0.00108913
15,17.0843,0.14761,0.78125,1,0.61865,0.00107675,0.00107675,0.00107675
16,18.2135,0.1624,0.825,1,0.65503,0.00106437,0.00106437,0.00106437
17,19.2454,0.12876,0.85312,1,0.68481,0.001052,0.001052,0.001052
18,20.1411,0.13882,0.8375,1,0.63525,0.00103962,0.00103962,0.00103962
19,21.0912,0.1204,0.85312,1,0.54163,0.00102725,0.00102725,0.00102725
20,22.2454,0.07559,0.83438,1,0.70801,0.00101488,0.00101488,0.00101488
21,23.1762,0.09012,0.82812,1,0.62988,0.0010025,0.0010025,0.0010025
22,24.2546,0.1147,0.82187,1,0.65479,0.000990125,0.000990125,0.000990125
