epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.25987,1.38233,0.4375,1,1.25537,8.75e-05,8.75e-05,8.75e-05
2,2.93937,1.23247,0.62813,1,0.97217,0.000185644,0.000185644,0.000185644
3,4.13558,0.97575,0.69063,1,0.81494,0.000281807,0.000281807,0.000281807
4,5.10078,0.71875,0.7125,1,0.73022,0.000375991,0.000375991,0.000375991
5,5.88563,0.52701,0.74063,1,0.67407,0.000468195,0.000468195,0.000468195
6,7.05514,0.43264,0.775,1,0.61011,0.000558419,0.000558419,0.000558419
7,8.01265,0.35224,0.75937,1,0.66113,0.000646662,0.000646662,0.000646662
8,9.15872,0.30445,0.77188,1,0.64404,0.000732926,0.000732926,0.000732926
9,10.1348,0.23513,0.76875,1,0.71558,0.00081721,0.00081721,0.00081721
10,11.1624,0.21532,0.75313,1,0.73877,0.000899514,0.000899514,0.000899514
11,12.197,0.1924,0.79375,1,0.6626,0.000979838,0.000979838,0.000979838
12,13.2328,0.16182,0.76875,1,0.76636,0.00105818,0.00105818,0.00105818
13,14.4854,0.15354,0.78438,1,0.83862,0.0011015,0.0011015,0.0011015
14,15.7534,0.14442,0.80313,1,0.67261,0.00108913,0.00108913,0.00108913
15,16.9605,0.14973,0.81563,1,0.72827,0.00107675,0.00107675,0.00107675
16,17.8883,0.1427,0.80313,1,0.83423,0.00106437,0.00106437,0.00106437
17,19.086,0.14446,0.81563,1,0.7605,0.001052,0.001052,0.001052
18,20.2284,0.11173,0.81563,1,0.64502,0.00103962,0.00103962,0.00103962
19,21.1922,0.1377,0.79688,1,0.65381,0.00102725,0.00102725,0.00102725
20,22.1435,0.13183,0.79688,1,0.74561,0.00101488,0.00101488,0.00101488
21,23.109,0.12921,0.80625,1,0.76782,0.0010025,0.0010025,0.0010025
22,24.0316,0.10642,0.8,1,0.8606,0.000990125,0.000990125,0.000990125
23,25.1905,0.09298,0.81875,1,0.80078,0.00097775,0.00097775,0.00097775
24,26.1093,0.07446,0.81563,1,0.73975,0.000965375,0.000965375,0.000965375
25,27.093,0.08833,0.82187,1,0.7019,0.000953,0.000953,0.000953
26,28.0236,0.09917,0.79688,1,0.89575,0.000940625,0.000940625,0.000940625
27,29.2402,0.08531,0.78438,1,0.8042,0.00092825,0.00092825,0.00092825
28,30.2516,0.10093,0.8,1,0.8291,0.000915875,0.000915875,0.000915875
29,31.2966,0.06704,0.81875,1,0.84985,0.0009035,0.0009035,0.0009035
30,32.1918,0.0681,0.82812,1,0.68262,0.000891125,0.000891125,0.000891125
31,33.4099,0.09863,0.80625,1,0.68311,0.00087875,0.00087875,0.00087875
32,34.4297,0.07349,0.79375,1,1.11401,0.000866375,0.000866375,0.000866375
33,35.6393,0.07255,0.79375,1,0.68518,0.000854,0.000854,0.000854
34,36.4904,0.07682,0.80625,1,0.80176,0.000841625,0.000841625,0.000841625
35,37.4824,0.08296,0.82812,1,0.61194,0.00082925,0.00082925,0.00082925
36,38.6613,0.07854,0.85,1,0.57703,0.000816875,0.000816875,0.000816875
37,39.7212,0.0832,0.79062,1,0.82764,0.0008045,0.0008045,0.0008045
38,40.891,0.07038,0.78438,1,0.87354,0.000792125,0.000792125,0.000792125
39,41.8867,0.05005,0.80313,1,0.64453,0.00077975,0.00077975,0.00077975
40,42.7713,0.04875,0.79688,1,0.88965,0.000767375,0.000767375,0.000767375
41,43.8485,0.08193,0.81875,1,0.59235,0.000755,0.000755,0.000755
42,44.872,0.05211,0.82812,1,0.86523,0.000742625,0.000742625,0.000742625
43,46.0628,0.06339,0.825,1,0.73071,0.00073025,0.00073025,0.00073025
44,47.1477,0.06874,0.81563,1,0.84131,0.000717875,0.000717875,0.000717875
45,48.0739,0.05437,0.80625,1,1.02393,0.0007055,0.0007055,0.0007055
46,49.0724,0.04584,0.80625,1,1.01392,0.000693125,0.000693125,0.000693125
47,50.1482,0.05054,0.81563,1,0.72925,0.00068075,0.00068075,0.00068075
48,51.3532,0.05993,0.84375,1,0.87183,0.000668375,0.000668375,0.000668375
49,52.4009,0.05773,0.82187,1,0.61853,0.000656,0.000656,0.000656
50,53.5086,0.05227,0.82187,1,0.96265,0.000643625,0.000643625,0.000643625
51,54.6816,0.04232,0.80625,1,0.72388,0.00063125,0.00063125,0.00063125
52,55.7458,0.04701,0.8125,1,0.77783,0.000618875,0.000618875,0.000618875
53,56.8269,0.05927,0.825,1,0.80249,0.0006065,0.0006065,0.0006065
54,57.9201,0.05253,0.8375,1,0.60974,0.000594125,0.000594125,0.000594125
55,58.816,0.0488,0.82812,1,0.80347,0.00058175,0.00058175,0.00058175
56,59.8554,0.03652,0.825,1,0.78687,0.000569375,0.000569375,0.000569375
57,61.0055,0.0543,0.81875,1,1.01685,0.000557,0.000557,0.000557
58,61.9025,0.04518,0.8125,1,1.03125,0.000544625,0.000544625,0.000544625
59,62.7457,0.02622,0.8,1,0.96436,0.00053225,0.00053225,0.00053225
60,63.9828,0.03074,0.8125,1,0.9502,0.000519875,0.000519875,0.000519875
61,65.3385,0.03145,0.82812,1,0.72607,0.0005075,0.0005075,0.0005075
62,66.3698,0.03124,0.82812,1,0.96777,0.000495125,0.000495125,0.000495125
63,67.2423,0.03949,0.83438,1,0.74927,0.00048275,0.00048275,0.00048275
