epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.29681,1.43621,0.35938,1,1.30078,8.75e-05,8.75e-05,8.75e-05
2,3.00582,1.25026,0.55313,1,1.04736,0.000185644,0.000185644,0.000185644
3,3.83132,0.99596,0.67188,1,0.8064,0.000281807,0.000281807,0.000281807
4,4.70813,0.73791,0.75,1,0.59546,0.000375991,0.000375991,0.000375991
5,5.65554,0.55678,0.78125,1,0.62939,0.000468195,0.000468195,0.000468195
6,6.57522,0.46241,0.80313,1,0.50989,0.000558419,0.000558419,0.000558419
7,7.61519,0.37199,0.85625,1,0.52441,0.000646662,0.000646662,0.000646662
8,8.86503,0.30592,0.8625,1,0.39624,0.000732926,0.000732926,0.000732926
9,9.83623,0.26882,0.85625,1,0.42065,0.00081721,0.00081721,0.00081721
10,10.7255,0.25245,0.85312,1,0.41589,0.000899514,0.000899514,0.000899514
11,11.6116,0.21472,0.87187,1,0.3894,0.000979838,0.000979838,0.000979838
12,12.5489,0.22847,0.83438,1,0.54614,0.00105818,0.00105818,0.00105818
13,13.5471,0.17534,0.81563,1,0.6283,0.0011015,0.0011015,0.0011015
14,14.6861,0.16124,0.85,1,0.68884,0.00108913,0.00108913,0.00108913
15,15.7958,0.13588,0.8125,1,0.58496,0.00107675,0.00107675,0.00107675
16,16.5959,0.12721,0.85312,1,0.64673,0.00106437,0.00106437,0.00106437
17,17.4411,0.13348,0.83438,1,0.52893,0.001052,0.001052,0.001052
18,18.4458,0.11813,0.85,1,0.62476,0.00103962,0.00103962,0.00103962
19,19.6024,0.13262,0.825,1,0.6792,0.00102725,0.00102725,0.00102725
20,20.5117,0.12775,0.84375,1,0.5282,0.00101488,0.00101488,0.00101488
21,21.5115,0.09759,0.83438,1,0.56982,0.0010025,0.0010025,0.0010025
22,22.4475,0.11937,0.83125,1,0.52734,0.000990125,0.000990125,0.000990125
23,23.3157,0.10758,0.86563,1,0.45667,0.00097775,0.00097775,0.00097775
24,24.3142,0.09103,0.85312,1,0.56763,0.000965375,0.000965375,0.000965375
25,25.2077,0.11138,0.84688,1,0.62402,0.000953,0.000953,0.000953
26,26.4664,0.09642,0.82812,1,0.5481,0.000940625,0.000940625,0.000940625
27,27.4849,0.07669,0.84688,1,0.43884,0.00092825,0.00092825,0.00092825
28,28.3718,0.09424,0.82812,1,0.68311,0.000915875,0.000915875,0.000915875
29,29.4776,0.07002,0.84688,1,0.65405,0.0009035,0.0009035,0.0009035
30,30.2841,0.07393,0.84375,1,0.59326,0.000891125,0.000891125,0.000891125
31,31.2466,0.08384,0.81875,1,0.64575,0.00087875,0.00087875,0.00087875
32,32.169,0.07069,0.83438,1,0.63452,0.000866375,0.000866375,0.000866375
33,33.2343,0.07536,0.84688,1,0.81384,0.000854,0.000854,0.000854
34,34.1609,0.08556,0.83438,1,0.55261,0.000841625,0.000841625,0.000841625
35,35.2809,0.04748,0.8375,1,0.51831,0.00082925,0.00082925,0.00082925
36,36.2281,0.058,0.83125,1,0.64771,0.000816875,0.000816875,0.000816875
37,37.1357,0.07109,0.83125,1,0.71851,0.0008045,0.0008045,0.0008045
38,38.2183,0.04169,0.82812,1,0.60278,0.000792125,0.000792125,0.000792125
39,39.3106,0.05922,0.85,1,0.5177,0.00077975,0.00077975,0.00077975
40,40.3282,0.04918,0.8375,1,0.57178,0.000767375,0.000767375,0.000767375
41,41.1624,0.04957,0.8375,1,0.49622,0.000755,0.000755,0.000755
42,42.1119,0.05769,0.84375,1,0.59326,0.000742625,0.000742625,0.000742625
43,43.3384,0.07889,0.85312,1,0.6355,0.00073025,0.00073025,0.00073025
44,44.1025,0.06234,0.85625,1,0.56909,0.000717875,0.000717875,0.000717875
45,45.0285,0.05801,0.84688,1,0.46326,0.0007055,0.0007055,0.0007055
46,45.9279,0.05619,0.84062,1,0.61426,0.000693125,0.000693125,0.000693125
47,47.0145,0.04568,0.84688,1,0.5957,0.00068075,0.00068075,0.00068075
48,47.8924,0.03869,0.84375,1,0.52417,0.000668375,0.000668375,0.000668375
49,49.0587,0.05084,0.85938,1,0.61267,0.000656,0.000656,0.000656
50,49.8857,0.04113,0.85,1,0.60962,0.000643625,0.000643625,0.000643625
51,50.7801,0.04387,0.84062,1,0.56641,0.00063125,0.00063125,0.00063125
52,51.6675,0.04129,0.84062,1,0.78979,0.000618875,0.000618875,0.000618875
53,52.6918,0.04989,0.85312,1,0.55566,0.0006065,0.0006065,0.0006065
54,53.6851,0.02918,0.85,1,0.59277,0.000594125,0.000594125,0.000594125
55,54.7221,0.0522,0.85312,1,0.55261,0.00058175,0.00058175,0.00058175
56,55.6391,0.05631,0.85,1,0.60962,0.000569375,0.000569375,0.000569375
57,56.6334,0.04802,0.85,1,0.80469,0.000557,0.000557,0.000557
58,57.5981,0.05092,0.84062,1,0.63257,0.000544625,0.000544625,0.000544625
59,58.522,0.05032,0.82812,1,0.57019,0.00053225,0.00053225,0.00053225
60,59.592,0.02359,0.84688,1,0.65942,0.000519875,0.000519875,0.000519875
61,60.4145,0.04489,0.85,1,0.66479,0.0005075,0.0005075,0.0005075
62,61.5291,0.04105,0.85938,1,0.52478,0.000495125,0.000495125,0.000495125
63,62.538,0.03769,0.86875,1,0.71362,0.00048275,0.00048275,0.00048275
64,63.5884,0.03556,0.86563,1,0.625,0.000470375,0.000470375,0.000470375
65,64.5939,0.05059,0.86875,1,0.48254,0.000458,0.000458,0.000458
66,65.6753,0.03415,0.85312,1,0.45813,0.000445625,0.000445625,0.000445625
67,66.5755,0.02945,0.85,1,0.52869,0.00043325,0.00043325,0.00043325
68,67.3921,0.03377,0.8625,1,0.46497,0.000420875,0.000420875,0.000420875
69,68.3211,0.03854,0.85625,1,0.59326,0.0004085,0.0004085,0.0004085
70,69.2531,0.04048,0.85,1,0.52429,0.000396125,0.000396125,0.000396125
71,70.3794,0.0287,0.85312,1,0.54761,0.00038375,0.00038375,0.00038375
72,71.3824,0.0428,0.85625,1,0.6897,0.000371375,0.000371375,0.000371375
73,72.3383,0.04074,0.85,1,0.74658,0.000359,0.000359,0.000359
74,73.269,0.03817,0.85625,1,0.52856,0.000346625,0.000346625,0.000346625
75,74.2475,0.03353,0.8625,1,0.44397,0.00033425,0.00033425,0.00033425
76,75.2716,0.02915,0.8625,1,0.73267,0.000321875,0.000321875,0.000321875
77,76.1142,0.03151,0.85625,1,0.71655,0.0003095,0.0003095,0.0003095
78,77.0328,0.03802,0.85312,1,0.69629,0.000297125,0.000297125,0.000297125
79,77.9257,0.02045,0.85312,1,0.55835,0.00028475,0.00028475,0.00028475
80,78.7899,0.02309,0.8625,1,0.48975,0.000272375,0.000272375,0.000272375
81,79.9388,0.03376,0.8625,1,0.65735,0.00026,0.00026,0.00026
82,81.0127,0.02733,0.86563,1,0.59314,0.000247625,0.000247625,0.000247625
83,81.8883,0.01936,0.85938,1,0.45544,0.00023525,0.00023525,0.00023525
84,82.8582,0.04347,0.86875,1,0.59229,0.000222875,0.000222875,0.000222875
85,83.7617,0.02816,0.86563,1,0.52148,0.0002105,0.0002105,0.0002105
86,84.6643,0.02129,0.85938,1,0.49268,0.000198125,0.000198125,0.000198125
87,85.7194,0.02778,0.85625,1,0.71741,0.00018575,0.00018575,0.00018575
