epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.32185,1.42869,0.35625,1,1.30078,8.75e-05,8.75e-05,8.75e-05
2,3.00824,1.23989,0.52812,1,1.07031,0.000185644,0.000185644,0.000185644
3,3.80558,0.97933,0.69063,1,0.823,0.000281807,0.000281807,0.000281807
4,4.66308,0.72809,0.75,1,0.65234,0.000375991,0.000375991,0.000375991
5,5.57983,0.56214,0.79375,1,0.49731,0.000468195,0.000468195,0.000468195
6,6.69998,0.46591,0.80937,1,0.47253,0.000558419,0.000558419,0.000558419
7,7.7429,0.40045,0.83125,1,0.48047,0.000646662,0.000646662,0.000646662
8,8.63884,0.30594,0.82187,1,0.427,0.000732926,0.000732926,0.000732926
9,9.53592,0.26063,0.85312,1,0.38,0.00081721,0.00081721,0.00081721
10,10.4734,0.21633,0.81875,1,0.4281,0.000899514,0.000899514,0.000899514
11,11.5444,0.19428,0.8375,1,0.40466,0.000979838,0.000979838,0.000979838
12,12.5941,0.17562,0.80313,1,0.63379,0.00105818,0.00105818,0.00105818
13,13.4817,0.18118,0.84688,1,0.4751,0.0011015,0.0011015,0.0011015
14,14.5472,0.15885,0.84375,1,0.5376,0.00108913,0.00108913,0.00108913
15,15.6641,0.13071,0.84688,1,0.43848,0.00107675,0.00107675,0.00107675
16,16.729,0.1361,0.84062,1,0.38367,0.00106437,0.00106437,0.00106437
17,17.6892,0.14348,0.825,1,0.68994,0.001052,0.001052,0.001052
18,18.6711,0.15239,0.82812,1,0.56689,0.00103962,0.00103962,0.00103962
19,19.5912,0.12886,0.79375,1,0.66016,0.00102725,0.00102725,0.00102725
20,20.7792,0.11566,0.8125,1,0.64502,0.00101488,0.00101488,0.00101488
21,21.9261,0.13278,0.8625,1,0.43091,0.0010025,0.0010025,0.0010025
22,22.8398,0.10282,0.85,1,0.57227,0.000990125,0.000990125,0.000990125
23,23.7758,0.08873,0.84688,1,0.448,0.00097775,0.00097775,0.00097775
24,24.658,0.09444,0.83438,1,0.64148,0.000965375,0.000965375,0.000965375
25,25.7601,0.10371,0.83125,1,0.54419,0.000953,0.000953,0.000953
26,26.6671,0.09668,0.825,1,0.60693,0.000940625,0.000940625,0.000940625
27,27.7235,0.11336,0.825,1,0.46985,0.00092825,0.00092825,0.00092825
28,28.6904,0.10447,0.84062,1,0.52393,0.000915875,0.000915875,0.000915875
29,29.463,0.12471,0.81875,1,0.69312,0.0009035,0.0009035,0.0009035
30,30.5985,0.1007,0.84688,1,0.48718,0.000891125,0.000891125,0.000891125
31,31.6722,0.09271,0.80937,1,0.64819,0.00087875,0.00087875,0.00087875
32,32.5199,0.06871,0.83125,1,0.6394,0.000866375,0.000866375,0.000866375
33,33.523,0.0635,0.82812,1,0.6106,0.000854,0.000854,0.000854
34,34.3893,0.08855,0.80937,1,0.6875,0.000841625,0.000841625,0.000841625
35,35.3141,0.05371,0.81563,1,0.61499,0.00082925,0.00082925,0.00082925
36,36.3576,0.07945,0.83125,1,0.71094,0.000816875,0.000816875,0.000816875
37,37.3105,0.06321,0.84062,1,0.64966,0.0008045,0.0008045,0.0008045
38,38.2175,0.06691,0.85938,1,0.55591,0.000792125,0.000792125,0.000792125
39,39.2331,0.0627,0.84688,1,0.67627,0.00077975,0.00077975,0.00077975
40,40.2802,0.05082,0.8375,1,0.78442,0.000767375,0.000767375,0.000767375
41,41.2769,0.0611,0.83125,1,0.56274,0.000755,0.000755,0.000755
42,42.2877,0.06249,0.84062,1,0.77588,0.000742625,0.000742625,0.000742625
