epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.56238,1.41765,0.3625,1,1.31201,8.75e-05,8.75e-05,8.75e-05
2,3.35688,1.25048,0.55937,1,1.12695,0.000185644,0.000185644,0.000185644
3,4.32634,0.9867,0.68437,1,0.79443,0.000281807,0.000281807,0.000281807
4,5.21698,0.73442,0.7375,1,0.66919,0.000375991,0.000375991,0.000375991
5,6.23604,0.56082,0.78125,1,0.64526,0.000468195,0.000468195,0.000468195
6,7.45157,0.44228,0.8125,1,0.56348,0.000558419,0.000558419,0.000558419
7,8.49701,0.36303,0.80937,1,0.4364,0.000646662,0.000646662,0.000646662
8,9.56785,0.30981,0.825,1,0.50793,0.000732926,0.000732926,0.000732926
9,10.6847,0.24528,0.8,1,0.59619,0.00081721,0.00081721,0.00081721
10,11.6666,0.22819,0.82812,1,0.50208,0.000899514,0.000899514,0.000899514
11,12.7747,0.20806,0.8125,1,0.47473,0.000979838,0.000979838,0.000979838
12,13.8853,0.17433,0.79688,1,0.67065,0.00105818,0.00105818,0.00105818
13,14.8372,0.19403,0.8125,1,0.70068,0.0011015,0.0011015,0.0011015
14,15.7368,0.15514,0.80313,1,0.71069,0.00108913,0.00108913,0.00108913
15,16.8278,0.15518,0.80625,1,0.62061,0.00107675,0.00107675,0.00107675
16,17.8851,0.12515,0.825,1,0.63892,0.00106437,0.00106437,0.00106437
17,18.9822,0.14587,0.8125,1,0.67334,0.001052,0.001052,0.001052
18,19.9883,0.12633,0.81875,1,0.56616,0.00103962,0.00103962,0.00103962
19,21.076,0.12383,0.80625,1,0.53076,0.00102725,0.00102725,0.00102725
20,21.998,0.12308,0.8,1,0.53833,0.00101488,0.00101488,0.00101488
21,22.9908,0.11088,0.81563,1,0.65527,0.0010025,0.0010025,0.0010025
22,24.0623,0.0965,0.82187,1,0.59277,0.000990125,0.000990125,0.000990125
23,25.0464,0.11381,0.81563,1,0.77271,0.00097775,0.00097775,0.00097775
24,26.0342,0.07061,0.82812,1,0.65161,0.000965375,0.000965375,0.000965375
25,27.1979,0.10298,0.80313,1,0.66699,0.000953,0.000953,0.000953
26,28.2407,0.08967,0.79375,1,0.71826,0.000940625,0.000940625,0.000940625
27,29.1913,0.07781,0.82187,1,0.67139,0.00092825,0.00092825,0.00092825
28,30.1338,0.1068,0.80937,1,0.5553,0.000915875,0.000915875,0.000915875
29,31.3197,0.0988,0.8125,1,0.51404,0.0009035,0.0009035,0.0009035
30,32.1874,0.07771,0.8375,1,0.62085,0.000891125,0.000891125,0.000891125
31,33.1199,0.07462,0.83125,1,0.51367,0.00087875,0.00087875,0.00087875
32,34.1343,0.07859,0.82812,1,0.61816,0.000866375,0.000866375,0.000866375
33,35.203,0.06099,0.84062,1,0.51709,0.000854,0.000854,0.000854
34,36.3681,0.10147,0.84062,1,0.58105,0.000841625,0.000841625,0.000841625
35,37.2599,0.06063,0.84375,1,0.55322,0.00082925,0.00082925,0.00082925
36,38.5774,0.06424,0.84062,1,0.56519,0.000816875,0.000816875,0.000816875
37,39.6904,0.068,0.83438,1,0.64331,0.0008045,0.0008045,0.0008045
38,40.9108,0.05568,0.81875,1,0.62427,0.000792125,0.000792125,0.000792125
39,41.7301,0.09781,0.825,1,0.75122,0.00077975,0.00077975,0.00077975
40,42.5891,0.06595,0.81875,1,0.55823,0.000767375,0.000767375,0.000767375
41,43.5132,0.0393,0.80625,1,0.8457,0.000755,0.000755,0.000755
42,44.4544,0.04657,0.81875,1,0.67896,0.000742625,0.000742625,0.000742625
43,45.7656,0.05377,0.825,1,0.70703,0.00073025,0.00073025,0.00073025
44,46.6645,0.08581,0.8375,1,0.67603,0.000717875,0.000717875,0.000717875
45,47.8874,0.07257,0.83125,1,0.79541,0.0007055,0.0007055,0.0007055
46,48.7385,0.06655,0.81563,1,0.83765,0.000693125,0.000693125,0.000693125
