epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.00557,1.46615,0.30312,1,1.45068,8.75e-05,8.75e-05,8.75e-05
2,2.92673,1.28359,0.54688,1,1.12549,0.000185644,0.000185644,0.000185644
3,3.85682,1.00836,0.65938,1,0.83813,0.000281807,0.000281807,0.000281807
4,4.67076,0.76219,0.7125,1,0.69214,0.000375991,0.000375991,0.000375991
5,5.58115,0.56143,0.74063,1,0.64185,0.000468195,0.000468195,0.000468195
6,6.52015,0.47001,0.76875,1,0.74634,0.000558419,0.000558419,0.000558419
7,7.77021,0.35239,0.775,1,0.55688,0.000646662,0.000646662,0.000646662
8,8.64598,0.33088,0.75937,1,0.60986,0.000732926,0.000732926,0.000732926
9,9.5472,0.25648,0.775,1,0.57593,0.00081721,0.00081721,0.00081721
10,10.5702,0.2096,0.7875,1,0.6062,0.000899514,0.000899514,0.000899514
11,11.4776,0.18999,0.80313,1,0.64233,0.000979838,0.000979838,0.000979838
12,12.3931,0.20883,0.78125,1,0.70703,0.00105818,0.00105818,0.00105818
13,13.3399,0.16476,0.78125,1,0.57935,0.0011015,0.0011015,0.0011015
14,14.3344,0.16282,0.80625,1,0.66284,0.00108913,0.00108913,0.00108913
15,15.3282,0.1365,0.79062,1,0.68311,0.00107675,0.00107675,0.00107675
16,16.1467,0.11806,0.81563,1,0.59326,0.00106437,0.00106437,0.00106437
17,17.1446,0.14688,0.82812,1,0.57788,0.001052,0.001052,0.001052
18,18.257,0.11476,0.83438,1,0.55396,0.00103962,0.00103962,0.00103962
19,19.3045,0.13249,0.84062,1,0.53235,0.00102725,0.00102725,0.00102725
20,20.1969,0.0983,0.83125,1,0.5686,0.00101488,0.00101488,0.00101488
21,21.2538,0.10564,0.82812,1,0.59961,0.0010025,0.0010025,0.0010025
22,22.2077,0.08997,0.79375,1,0.7793,0.000990125,0.000990125,0.000990125
23,23.1786,0.08933,0.83438,1,0.68896,0.00097775,0.00097775,0.00097775
24,24.1307,0.1001,0.81563,1,0.58459,0.000965375,0.000965375,0.000965375
25,25.0721,0.0956,0.81875,1,0.81641,0.000953,0.000953,0.000953
26,25.9658,0.09282,0.82187,1,0.66455,0.000940625,0.000940625,0.000940625
27,27.0022,0.09678,0.825,1,0.72461,0.00092825,0.00092825,0.00092825
28,27.8694,0.0689,0.79688,1,0.79419,0.000915875,0.000915875,0.000915875
