epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.92155,1.41069,0.4,1,1.3335,8.75e-05,8.75e-05,8.75e-05
2,3.63727,1.23521,0.5875,1,1.05176,0.000185644,0.000185644,0.000185644
3,4.71072,0.9715,0.69063,1,0.79004,0.000281807,0.000281807,0.000281807
4,5.72477,0.75608,0.7375,1,0.6377,0.000375991,0.000375991,0.000375991
5,6.77503,0.57003,0.78438,1,0.64648,0.000468195,0.000468195,0.000468195
6,7.80531,0.46594,0.78438,1,0.5614,0.000558419,0.000558419,0.000558419
7,8.72536,0.38286,0.79375,1,0.54932,0.000646662,0.000646662,0.000646662
8,9.79553,0.33083,0.80937,1,0.56812,0.000732926,0.000732926,0.000732926
9,10.9367,0.26519,0.8125,1,0.64111,0.00081721,0.00081721,0.00081721
10,12.0256,0.2197,0.82187,1,0.55518,0.000899514,0.000899514,0.000899514
11,13.0349,0.21083,0.80313,1,0.62976,0.000979838,0.000979838,0.000979838
12,13.9182,0.17554,0.8125,1,0.56567,0.00105818,0.00105818,0.00105818
13,14.967,0.16428,0.83125,1,0.60461,0.0011015,0.0011015,0.0011015
14,15.9874,0.13999,0.81875,1,0.6189,0.00108913,0.00108913,0.00108913
15,17.1854,0.17239,0.825,1,0.70239,0.00107675,0.00107675,0.00107675
16,18.1805,0.1311,0.81875,1,0.63062,0.00106437,0.00106437,0.00106437
17,19.1246,0.1305,0.8125,1,0.61914,0.001052,0.001052,0.001052
18,20.2292,0.1149,0.825,1,0.62061,0.00103962,0.00103962,0.00103962
19,21.2599,0.13459,0.825,1,0.59131,0.00102725,0.00102725,0.00102725
20,22.4609,0.12082,0.84062,1,0.547,0.00101488,0.00101488,0.00101488
21,23.5492,0.11914,0.8375,1,0.57275,0.0010025,0.0010025,0.0010025
22,24.4574,0.13139,0.79688,1,0.61292,0.000990125,0.000990125,0.000990125
23,25.4944,0.11084,0.82812,1,0.70728,0.00097775,0.00097775,0.00097775
24,26.4781,0.08433,0.82812,1,0.66821,0.000965375,0.000965375,0.000965375
25,27.4561,0.10074,0.80937,1,0.55969,0.000953,0.000953,0.000953
26,28.4948,0.10805,0.81563,1,0.65869,0.000940625,0.000940625,0.000940625
27,29.6818,0.08646,0.83125,1,0.72607,0.00092825,0.00092825,0.00092825
28,30.6405,0.08193,0.83125,1,0.52783,0.000915875,0.000915875,0.000915875
29,31.65,0.07734,0.83125,1,0.64526,0.0009035,0.0009035,0.0009035
30,32.7571,0.05955,0.82187,1,0.51758,0.000891125,0.000891125,0.000891125
31,34.0399,0.0952,0.8375,1,0.55127,0.00087875,0.00087875,0.00087875
32,34.9751,0.07504,0.83125,1,0.70068,0.000866375,0.000866375,0.000866375
33,36.0674,0.09428,0.84062,1,0.57202,0.000854,0.000854,0.000854
34,37.032,0.07785,0.85,1,0.64014,0.000841625,0.000841625,0.000841625
35,38.0705,0.06718,0.85625,1,0.58984,0.00082925,0.00082925,0.00082925
36,39.1385,0.08998,0.84062,1,0.61597,0.000816875,0.000816875,0.000816875
37,40.2139,0.07266,0.8125,1,0.68018,0.0008045,0.0008045,0.0008045
38,41.3816,0.06384,0.81563,1,0.70459,0.000792125,0.000792125,0.000792125
39,42.5692,0.06331,0.8,1,0.64478,0.00077975,0.00077975,0.00077975
40,43.7096,0.07824,0.80937,1,0.73706,0.000767375,0.000767375,0.000767375
41,44.6187,0.07251,0.81563,1,0.74634,0.000755,0.000755,0.000755
