epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.04928,1.45235,0.29375,1,1.3999,8.75e-05,8.75e-05,8.75e-05
2,2.75732,1.28296,0.55313,1,1.07666,0.000185644,0.000185644,0.000185644
3,3.63307,1.01262,0.65312,1,0.86377,0.000281807,0.000281807,0.000281807
4,4.42541,0.7756,0.72812,1,0.69385,0.000375991,0.000375991,0.000375991
5,5.27942,0.58613,0.76875,1,0.66846,0.000468195,0.000468195,0.000468195
6,6.30169,0.48536,0.775,1,0.6377,0.000558419,0.000558419,0.000558419
7,7.45815,0.37982,0.8,1,0.52344,0.000646662,0.000646662,0.000646662
8,8.56049,0.32362,0.8125,1,0.56372,0.000732926,0.000732926,0.000732926
9,9.63922,0.2712,0.7875,1,0.61084,0.00081721,0.00081721,0.00081721
10,10.5739,0.21379,0.79062,1,0.60205,0.000899514,0.000899514,0.000899514
11,11.6024,0.18604,0.79375,1,0.61694,0.000979838,0.000979838,0.000979838
12,12.6046,0.19896,0.77812,1,0.62085,0.00105818,0.00105818,0.00105818
13,13.8027,0.15192,0.7875,1,0.66968,0.0011015,0.0011015,0.0011015
14,14.6457,0.16248,0.78438,1,0.85547,0.00108913,0.00108913,0.00108913
15,15.6568,0.13542,0.82812,1,0.57666,0.00107675,0.00107675,0.00107675
16,16.7182,0.13536,0.83438,1,0.62183,0.00106437,0.00106437,0.00106437
17,17.874,0.14107,0.79688,1,0.6665,0.001052,0.001052,0.001052
18,18.7362,0.12779,0.81563,1,0.63208,0.00103962,0.00103962,0.00103962
19,19.6059,0.14362,0.80625,1,0.69385,0.00102725,0.00102725,0.00102725
20,20.675,0.11077,0.79062,1,0.84106,0.00101488,0.00101488,0.00101488
21,21.4357,0.109,0.82187,1,0.60767,0.0010025,0.0010025,0.0010025
22,22.501,0.11848,0.83125,1,0.63501,0.000990125,0.000990125,0.000990125
23,23.4196,0.0944,0.81563,1,0.6228,0.00097775,0.00097775,0.00097775
24,24.4139,0.09456,0.825,1,0.59668,0.000965375,0.000965375,0.000965375
25,25.3535,0.10515,0.81563,1,0.63965,0.000953,0.000953,0.000953
26,26.3159,0.09463,0.80937,1,0.79785,0.000940625,0.000940625,0.000940625
27,27.3319,0.08765,0.825,1,0.6062,0.00092825,0.00092825,0.00092825
28,28.2056,0.07449,0.81563,1,0.71606,0.000915875,0.000915875,0.000915875
29,29.3557,0.07806,0.7875,1,0.84668,0.0009035,0.0009035,0.0009035
30,30.2969,0.05746,0.7875,1,0.76514,0.000891125,0.000891125,0.000891125
31,31.1858,0.06839,0.81563,1,0.73218,0.00087875,0.00087875,0.00087875
32,32.07,0.07826,0.8375,1,0.65942,0.000866375,0.000866375,0.000866375
33,33.1026,0.09299,0.82187,1,0.7019,0.000854,0.000854,0.000854
34,34.05,0.07853,0.8,1,0.62585,0.000841625,0.000841625,0.000841625
35,35.0113,0.07553,0.80625,1,0.60242,0.00082925,0.00082925,0.00082925
36,36.0231,0.06673,0.78438,1,0.8042,0.000816875,0.000816875,0.000816875
37,36.9075,0.07304,0.80937,1,0.67725,0.0008045,0.0008045,0.0008045
38,37.8652,0.06085,0.81563,1,0.73804,0.000792125,0.000792125,0.000792125
39,38.9216,0.05156,0.83125,1,0.73145,0.00077975,0.00077975,0.00077975
40,39.9654,0.06048,0.83125,1,0.74634,0.000767375,0.000767375,0.000767375
41,40.9246,0.05147,0.80937,1,0.60657,0.000755,0.000755,0.000755
42,41.861,0.04355,0.80313,1,0.77222,0.000742625,0.000742625,0.000742625
43,43.092,0.05014,0.79062,1,0.69531,0.00073025,0.00073025,0.00073025
44,44.019,0.07729,0.81563,1,0.57764,0.000717875,0.000717875,0.000717875
45,44.8522,0.05083,0.82812,1,0.78735,0.0007055,0.0007055,0.0007055
46,45.8125,0.06739,0.80625,1,0.83545,0.000693125,0.000693125,0.000693125
47,46.8676,0.04158,0.80625,1,0.77759,0.00068075,0.00068075,0.00068075
48,47.669,0.07853,0.8125,1,0.64844,0.000668375,0.000668375,0.000668375
49,48.626,0.04312,0.81563,1,0.74683,0.000656,0.000656,0.000656
