epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.31887,1.4304,0.35625,1,1.30176,8.75e-05,8.75e-05,8.75e-05
2,3.05379,1.23986,0.53438,1,1.06934,0.000185644,0.000185644,0.000185644
3,4.03316,0.9782,0.69375,1,0.82153,0.000281807,0.000281807,0.000281807
4,4.93471,0.72739,0.75313,1,0.65063,0.000375991,0.000375991,0.000375991
5,5.96802,0.5622,0.79375,1,0.49646,0.000468195,0.000468195,0.000468195
6,6.8509,0.46618,0.8125,1,0.47229,0.000558419,0.000558419,0.000558419
7,7.89963,0.3995,0.825,1,0.48291,0.000646662,0.000646662,0.000646662
8,8.82552,0.30711,0.825,1,0.42529,0.000732926,0.000732926,0.000732926
9,9.87992,0.26166,0.8625,1,0.38184,0.00081721,0.00081721,0.00081721
10,11.0096,0.21601,0.825,1,0.42114,0.000899514,0.000899514,0.000899514
11,11.8285,0.19252,0.8375,1,0.40955,0.000979838,0.000979838,0.000979838
12,12.7836,0.17589,0.8,1,0.62036,0.00105818,0.00105818,0.00105818
13,13.7706,0.17725,0.84375,1,0.48816,0.0011015,0.0011015,0.0011015
14,14.8057,0.15986,0.84375,1,0.52588,0.00108913,0.00108913,0.00108913
15,15.9892,0.13219,0.84062,1,0.44629,0.00107675,0.00107675,0.00107675
16,16.9045,0.13414,0.84062,1,0.38721,0.00106437,0.00106437,0.00106437
17,17.8214,0.14571,0.8,1,0.70776,0.001052,0.001052,0.001052
18,18.9592,0.14079,0.8375,1,0.57202,0.00103962,0.00103962,0.00103962
19,19.8658,0.12824,0.8,1,0.65161,0.00102725,0.00102725,0.00102725
20,21.0855,0.11262,0.80625,1,0.61426,0.00101488,0.00101488,0.00101488
21,22.14,0.1276,0.86875,1,0.46924,0.0010025,0.0010025,0.0010025
22,23.1157,0.09844,0.8375,1,0.59204,0.000990125,0.000990125,0.000990125
23,24.0312,0.08721,0.85625,1,0.42334,0.00097775,0.00097775,0.00097775
24,24.924,0.10224,0.84062,1,0.61902,0.000965375,0.000965375,0.000965375
25,26.02,0.11713,0.84688,1,0.55322,0.000953,0.000953,0.000953
26,27.0351,0.08715,0.81875,1,0.60669,0.000940625,0.000940625,0.000940625
27,28.0254,0.10196,0.82187,1,0.50073,0.00092825,0.00092825,0.00092825
28,28.9445,0.1075,0.80937,1,0.56604,0.000915875,0.000915875,0.000915875
29,29.811,0.10786,0.84062,1,0.63647,0.0009035,0.0009035,0.0009035
30,30.8253,0.09306,0.8375,1,0.43469,0.000891125,0.000891125,0.000891125
31,31.9949,0.09034,0.85,1,0.60791,0.00087875,0.00087875,0.00087875
