epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.07564,1.4329,0.37813,1,1.30078,8.75e-05,8.75e-05,8.75e-05
2,2.71959,1.25112,0.55313,1,1.06396,0.000185644,0.000185644,0.000185644
3,3.56002,0.98136,0.65938,1,0.79248,0.000281807,0.000281807,0.000281807
4,4.45366,0.75011,0.74687,1,0.62305,0.000375991,0.000375991,0.000375991
5,5.42828,0.60242,0.775,1,0.59717,0.000468195,0.000468195,0.000468195
6,6.59059,0.47573,0.80313,1,0.57642,0.000558419,0.000558419,0.000558419
7,7.70869,0.36916,0.81563,1,0.54639,0.000646662,0.000646662,0.000646662
8,8.56129,0.3308,0.82812,1,0.48376,0.000732926,0.000732926,0.000732926
9,9.44964,0.2612,0.8375,1,0.53149,0.00081721,0.00081721,0.00081721
10,10.3926,0.25085,0.83438,1,0.49548,0.000899514,0.000899514,0.000899514
11,11.5159,0.20019,0.84375,1,0.46814,0.000979838,0.000979838,0.000979838
12,12.4626,0.20389,0.84062,1,0.49573,0.00105818,0.00105818,0.00105818
13,13.2779,0.18028,0.83125,1,0.49792,0.0011015,0.0011015,0.0011015
14,14.3297,0.14917,0.80625,1,0.70142,0.00108913,0.00108913,0.00108913
15,15.3872,0.15539,0.8,1,0.58484,0.00107675,0.00107675,0.00107675
16,16.3434,0.13306,0.84375,1,0.48938,0.00106437,0.00106437,0.00106437
17,17.5942,0.12138,0.80313,1,0.47693,0.001052,0.001052,0.001052
18,18.4766,0.1407,0.82812,1,0.60449,0.00103962,0.00103962,0.00103962
19,19.3986,0.15534,0.8125,1,0.70508,0.00102725,0.00102725,0.00102725
20,20.2945,0.11484,0.81563,1,0.68433,0.00101488,0.00101488,0.00101488
21,21.188,0.13851,0.8125,1,0.52295,0.0010025,0.0010025,0.0010025
22,22.1575,0.10271,0.81875,1,0.60498,0.000990125,0.000990125,0.000990125
23,23.1694,0.10814,0.83438,1,0.57324,0.00097775,0.00097775,0.00097775
24,24.1579,0.09844,0.82187,1,0.62231,0.000965375,0.000965375,0.000965375
25,25.0326,0.10031,0.84375,1,0.4696,0.000953,0.000953,0.000953
26,25.9772,0.11706,0.8125,1,0.77808,0.000940625,0.000940625,0.000940625
27,27.0904,0.07952,0.80937,1,0.58325,0.00092825,0.00092825,0.00092825
28,28.0581,0.0849,0.84375,1,0.43073,0.000915875,0.000915875,0.000915875
29,28.919,0.093,0.8625,1,0.40845,0.0009035,0.0009035,0.0009035
30,30.1811,0.08271,0.83125,1,0.65088,0.000891125,0.000891125,0.000891125
31,31.0548,0.06655,0.82187,1,0.71655,0.00087875,0.00087875,0.00087875
32,31.9367,0.0859,0.84688,1,0.62622,0.000866375,0.000866375,0.000866375
33,32.9005,0.08195,0.84375,1,0.59802,0.000854,0.000854,0.000854
34,33.8985,0.07884,0.83438,1,0.4632,0.000841625,0.000841625,0.000841625
35,34.9298,0.06919,0.84062,1,0.573,0.00082925,0.00082925,0.00082925
36,35.9149,0.07042,0.83438,1,0.61328,0.000816875,0.000816875,0.000816875
37,36.8692,0.0611,0.85938,1,0.61499,0.0008045,0.0008045,0.0008045
38,37.7917,0.04833,0.83125,1,0.66797,0.000792125,0.000792125,0.000792125
39,38.6837,0.06834,0.83438,1,0.85376,0.00077975,0.00077975,0.00077975
40,39.6424,0.0666,0.83438,1,0.7146,0.000767375,0.000767375,0.000767375
41,40.5572,0.0856,0.84688,1,0.62048,0.000755,0.000755,0.000755
42,41.5014,0.04069,0.84375,1,0.59155,0.000742625,0.000742625,0.000742625
43,42.3397,0.05567,0.8375,1,0.72559,0.00073025,0.00073025,0.00073025
44,43.3925,0.08938,0.825,1,0.63208,0.000717875,0.000717875,0.000717875
45,44.6908,0.0654,0.825,1,0.74805,0.0007055,0.0007055,0.0007055
46,45.5895,0.04846,0.83438,1,0.75806,0.000693125,0.000693125,0.000693125
47,46.5251,0.05867,0.84375,1,0.60938,0.00068075,0.00068075,0.00068075
48,47.4619,0.054,0.84375,1,0.67871,0.000668375,0.000668375,0.000668375
49,48.3072,0.04144,0.85625,1,0.73633,0.000656,0.000656,0.000656
50,49.3047,0.06808,0.85,1,0.49036,0.000643625,0.000643625,0.000643625
51,50.2271,0.05717,0.83438,1,0.6272,0.00063125,0.00063125,0.00063125
52,51.2009,0.05464,0.83438,1,0.64746,0.000618875,0.000618875,0.000618875
53,52.0609,0.05029,0.84375,1,0.73291,0.0006065,0.0006065,0.0006065
54,53.0243,0.0664,0.84062,1,0.66333,0.000594125,0.000594125,0.000594125
55,53.9752,0.05403,0.83125,1,0.67212,0.00058175,0.00058175,0.00058175
56,54.9889,0.05943,0.8375,1,0.59912,0.000569375,0.000569375,0.000569375
57,56.0552,0.05986,0.84062,1,0.52795,0.000557,0.000557,0.000557
58,57.0102,0.04997,0.83438,1,0.63867,0.000544625,0.000544625,0.000544625
59,57.7968,0.0448,0.84062,1,0.65894,0.00053225,0.00053225,0.00053225
60,58.8259,0.03649,0.84062,1,0.71948,0.000519875,0.000519875,0.000519875
61,59.845,0.05411,0.83438,1,0.59814,0.0005075,0.0005075,0.0005075
62,60.7499,0.0276,0.83438,1,0.55774,0.000495125,0.000495125,0.000495125
63,61.8579,0.03371,0.85,1,0.64551,0.00048275,0.00048275,0.00048275
64,62.8145,0.03623,0.85,1,0.55176,0.000470375,0.000470375,0.000470375
65,63.7773,0.04392,0.85625,1,0.50171,0.000458,0.000458,0.000458
66,64.6137,0.0264,0.84375,1,0.52649,0.000445625,0.000445625,0.000445625
67,65.606,0.02848,0.84062,1,0.77148,0.00043325,0.00043325,0.00043325
68,66.5848,0.03437,0.84688,1,0.53467,0.000420875,0.000420875,0.000420875
69,67.4871,0.03034,0.84062,1,0.54565,0.0004085,0.0004085,0.0004085
70,68.5284,0.03981,0.85,1,0.59473,0.000396125,0.000396125,0.000396125
71,69.3982,0.0365,0.85938,1,0.64551,0.00038375,0.00038375,0.00038375
72,70.3518,0.05765,0.85625,1,0.60132,0.000371375,0.000371375,0.000371375
73,71.4147,0.0266,0.86563,1,0.66943,0.000359,0.000359,0.000359
74,72.399,0.0192,0.85,1,0.6958,0.000346625,0.000346625,0.000346625
75,73.1686,0.0293,0.85,1,0.70386,0.00033425,0.00033425,0.00033425
76,74.0712,0.04501,0.84062,1,0.73877,0.000321875,0.000321875,0.000321875
77,75.0477,0.03627,0.85625,1,0.8147,0.0003095,0.0003095,0.0003095
78,75.976,0.04279,0.85312,1,0.55823,0.000297125,0.000297125,0.000297125
79,76.836,0.02866,0.85625,1,0.62964,0.00028475,0.00028475,0.00028475
80,78.0078,0.02332,0.85625,1,0.56824,0.000272375,0.000272375,0.000272375
81,78.9591,0.02802,0.8625,1,0.65137,0.00026,0.00026,0.00026
82,80.0533,0.03103,0.85625,1,0.62622,0.000247625,0.000247625,0.000247625
83,80.907,0.02212,0.85625,1,0.63574,0.00023525,0.00023525,0.00023525
84,81.9386,0.03307,0.86563,1,0.69336,0.000222875,0.000222875,0.000222875
85,82.9013,0.04096,0.85625,1,0.73315,0.0002105,0.0002105,0.0002105
86,84.02,0.03244,0.85625,1,0.47192,0.000198125,0.000198125,0.000198125
87,84.8768,0.03095,0.85312,1,0.64575,0.00018575,0.00018575,0.00018575
88,85.8207,0.02571,0.87187,1,0.60498,0.000173375,0.000173375,0.000173375
89,86.7897,0.031,0.87187,1,0.48779,0.000161,0.000161,0.000161
90,88.2949,0.02606,0.87813,1,0.57666,0.000148625,0.000148625,0.000148625
91,90.9287,0.01971,0.86563,1,0.71545,0.00013625,0.00013625,0.00013625
92,91.9513,0.015,0.87187,1,0.49036,0.000123875,0.000123875,0.000123875
93,92.849,0.02147,0.86563,1,0.51221,0.0001115,0.0001115,0.0001115
94,93.9993,0.02582,0.86563,1,0.60352,9.9125e-05,9.9125e-05,9.9125e-05
95,95.0928,0.03395,0.87187,1,0.56128,8.675e-05,8.675e-05,8.675e-05
96,95.9919,0.02994,0.87187,1,0.58057,7.4375e-05,7.4375e-05,7.4375e-05
97,96.9819,0.0228,0.87187,1,0.63354,6.2e-05,6.2e-05,6.2e-05
98,97.9331,0.02095,0.86875,1,0.55737,4.9625e-05,4.9625e-05,4.9625e-05
99,98.8422,0.0298,0.875,1,0.6001,3.725e-05,3.725e-05,3.725e-05
100,99.8329,0.01296,0.87813,1,0.62964,2.4875e-05,2.4875e-05,2.4875e-05
