epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.55363,1.15362,0.70312,1,0.76826,0.000409722,0.000409722,0.000409722
2,4.34906,0.65352,0.8,1,0.52246,0.000818208,0.000818208,0.000818208
3,6.12274,0.47745,0.79375,1,0.56846,0.00121844,0.00121844,0.00121844
4,7.80962,0.45104,0.78438,1,0.60652,0.00121287,0.00121287,0.00121287
5,9.49563,0.44043,0.79688,1,0.63381,0.0012005,0.0012005,0.0012005
6,11.2296,0.38552,0.82187,1,0.57395,0.00118812,0.00118812,0.00118812
7,12.8856,0.35713,0.8,1,0.59053,0.00117575,0.00117575,0.00117575
8,14.5574,0.33141,0.80313,1,0.62432,0.00116337,0.00116337,0.00116337
9,16.2685,0.28238,0.76562,1,0.73361,0.001151,0.001151,0.001151
10,17.9573,0.25913,0.80937,1,0.61917,0.00113863,0.00113863,0.00113863
11,19.6448,0.25659,0.84688,1,0.53208,0.00112625,0.00112625,0.00112625
12,21.3409,0.28949,0.8375,1,0.54133,0.00111388,0.00111388,0.00111388
13,23.0323,0.29116,0.77812,1,0.71432,0.0011015,0.0011015,0.0011015
14,24.7388,0.24148,0.825,1,0.56648,0.00108913,0.00108913,0.00108913
15,26.4237,0.21114,0.78125,1,0.7166,0.00107675,0.00107675,0.00107675
16,28.1637,0.20876,0.85,1,0.59691,0.00106437,0.00106437,0.00106437
17,29.8731,0.19748,0.8375,1,0.57234,0.001052,0.001052,0.001052
18,31.543,0.19252,0.81875,1,0.62446,0.00103962,0.00103962,0.00103962
19,33.2131,0.17717,0.82187,1,0.60813,0.00102725,0.00102725,0.00102725
20,34.9602,0.18694,0.80937,1,0.58748,0.00101488,0.00101488,0.00101488
21,36.6632,0.20035,0.825,1,0.64873,0.0010025,0.0010025,0.0010025
22,38.3626,0.16975,0.83438,1,0.55977,0.000990125,0.000990125,0.000990125
23,40.0682,0.14758,0.81875,1,0.56736,0.00097775,0.00097775,0.00097775
24,41.7598,0.17592,0.82812,1,0.63928,0.000965375,0.000965375,0.000965375
25,43.4804,0.14082,0.82812,1,0.62566,0.000953,0.000953,0.000953
26,45.1823,0.15032,0.83125,1,0.63357,0.000940625,0.000940625,0.000940625
27,46.8756,0.15663,0.8375,1,0.63672,0.00092825,0.00092825,0.00092825
28,48.5638,0.15201,0.84688,1,0.6144,0.000915875,0.000915875,0.000915875
29,50.2347,0.14016,0.84375,1,0.64792,0.0009035,0.0009035,0.0009035
30,51.9654,0.17419,0.84062,1,0.61588,0.000891125,0.000891125,0.000891125
31,53.5955,0.14094,0.85938,1,0.55675,0.00087875,0.00087875,0.00087875
