epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.34373,1.43537,0.34688,1,1.30371,8.75e-05,8.75e-05,8.75e-05
2,2.98123,1.24035,0.51875,1,1.07715,0.000185644,0.000185644,0.000185644
3,3.93254,0.97204,0.67813,1,0.83716,0.000281807,0.000281807,0.000281807
4,4.82549,0.72453,0.74063,1,0.677,0.000375991,0.000375991,0.000375991
5,5.76524,0.55704,0.76562,1,0.51294,0.000468195,0.000468195,0.000468195
6,6.80864,0.45199,0.78438,1,0.49939,0.000558419,0.000558419,0.000558419
7,7.87913,0.38439,0.8125,1,0.4939,0.000646662,0.000646662,0.000646662
8,8.96768,0.30479,0.83125,1,0.44092,0.000732926,0.000732926,0.000732926
9,9.94061,0.25612,0.84062,1,0.39551,0.00081721,0.00081721,0.00081721
10,11.0545,0.22268,0.82187,1,0.422,0.000899514,0.000899514,0.000899514
11,12.244,0.18643,0.84375,1,0.46167,0.000979838,0.000979838,0.000979838
12,13.2179,0.18571,0.80625,1,0.55322,0.00105818,0.00105818,0.00105818
13,14.3764,0.1862,0.8,1,0.5918,0.0011015,0.0011015,0.0011015
14,15.4751,0.18131,0.82187,1,0.526,0.00108913,0.00108913,0.00108913
15,16.3882,0.12909,0.8625,1,0.40552,0.00107675,0.00107675,0.00107675
16,17.49,0.13778,0.82812,1,0.41553,0.00106437,0.00106437,0.00106437
17,18.5446,0.12618,0.80937,1,0.69165,0.001052,0.001052,0.001052
18,19.4072,0.12494,0.8375,1,0.56702,0.00103962,0.00103962,0.00103962
19,20.3239,0.1317,0.8375,1,0.55493,0.00102725,0.00102725,0.00102725
20,21.432,0.10095,0.85312,1,0.62891,0.00101488,0.00101488,0.00101488
21,22.4705,0.13104,0.825,1,0.50842,0.0010025,0.0010025,0.0010025
22,23.3797,0.11398,0.80937,1,0.69141,0.000990125,0.000990125,0.000990125
23,24.3616,0.10143,0.83438,1,0.51184,0.00097775,0.00097775,0.00097775
24,25.4241,0.1086,0.82812,1,0.61279,0.000965375,0.000965375,0.000965375
25,26.512,0.11629,0.83125,1,0.54419,0.000953,0.000953,0.000953
26,27.379,0.088,0.84062,1,0.4856,0.000940625,0.000940625,0.000940625
27,28.3618,0.08779,0.85625,1,0.38794,0.00092825,0.00092825,0.00092825
28,29.3964,0.06804,0.85312,1,0.47571,0.000915875,0.000915875,0.000915875
29,30.2633,0.07894,0.85938,1,0.59009,0.0009035,0.0009035,0.0009035
30,31.3939,0.08698,0.81875,1,0.46021,0.000891125,0.000891125,0.000891125
31,32.6442,0.09055,0.85625,1,0.44482,0.00087875,0.00087875,0.00087875
32,33.5659,0.08819,0.85938,1,0.49329,0.000866375,0.000866375,0.000866375
33,34.5619,0.06069,0.84062,1,0.43042,0.000854,0.000854,0.000854
34,35.3916,0.07525,0.83438,1,0.56897,0.000841625,0.000841625,0.000841625
35,36.28,0.0506,0.85,1,0.43433,0.00082925,0.00082925,0.00082925
36,37.31,0.08352,0.85312,1,0.47095,0.000816875,0.000816875,0.000816875
37,38.4071,0.04651,0.85625,1,0.42468,0.0008045,0.0008045,0.0008045
38,39.2722,0.05728,0.85938,1,0.41663,0.000792125,0.000792125,0.000792125
39,40.1629,0.06358,0.83125,1,0.59155,0.00077975,0.00077975,0.00077975
40,41.2348,0.05353,0.84062,1,0.65063,0.000767375,0.000767375,0.000767375
41,42.1342,0.05921,0.85312,1,0.41956,0.000755,0.000755,0.000755
42,43.0302,0.06059,0.85312,1,0.64722,0.000742625,0.000742625,0.000742625
43,44.1603,0.05219,0.85,1,0.7312,0.00073025,0.00073025,0.00073025
44,45.1633,0.07845,0.84375,1,0.55994,0.000717875,0.000717875,0.000717875
45,46.1137,0.06308,0.84062,1,0.55322,0.0007055,0.0007055,0.0007055
46,46.9865,0.09086,0.84688,1,0.55432,0.000693125,0.000693125,0.000693125
47,47.9018,0.06712,0.85938,1,0.63318,0.00068075,0.00068075,0.00068075
48,49.0546,0.07141,0.85312,1,0.46973,0.000668375,0.000668375,0.000668375
49,50.1154,0.08287,0.85,1,0.59802,0.000656,0.000656,0.000656
50,51.1282,0.06205,0.84375,1,0.53711,0.000643625,0.000643625,0.000643625
51,52.0184,0.04627,0.84062,1,0.50134,0.00063125,0.00063125,0.00063125
52,52.9521,0.06683,0.83438,1,0.61304,0.000618875,0.000618875,0.000618875
53,53.9237,0.0462,0.84062,1,0.52661,0.0006065,0.0006065,0.0006065
54,54.8672,0.05245,0.85312,1,0.53735,0.000594125,0.000594125,0.000594125
55,55.8274,0.05616,0.86563,1,0.47058,0.00058175,0.00058175,0.00058175
56,56.7169,0.05086,0.85625,1,0.45898,0.000569375,0.000569375,0.000569375
57,57.6617,0.06727,0.87187,1,0.55298,0.000557,0.000557,0.000557
58,58.7772,0.04781,0.8375,1,0.60962,0.000544625,0.000544625,0.000544625
59,59.7982,0.0623,0.84688,1,0.50867,0.00053225,0.00053225,0.00053225
60,60.8412,0.06361,0.84062,1,0.51135,0.000519875,0.000519875,0.000519875
61,61.8045,0.05408,0.84375,1,0.51013,0.0005075,0.0005075,0.0005075
62,62.7844,0.0438,0.84688,1,0.5791,0.000495125,0.000495125,0.000495125
63,63.8757,0.0474,0.82812,1,0.5658,0.00048275,0.00048275,0.00048275
64,64.7868,0.0268,0.83125,1,0.75757,0.000470375,0.000470375,0.000470375
65,65.654,0.03284,0.82812,1,0.55652,0.000458,0.000458,0.000458
66,66.7059,0.03288,0.83125,1,0.68335,0.000445625,0.000445625,0.000445625
67,67.7997,0.03611,0.81875,1,0.61499,0.00043325,0.00043325,0.00043325
68,68.6773,0.05626,0.82812,1,0.57031,0.000420875,0.000420875,0.000420875
69,69.5846,0.03151,0.8375,1,0.53796,0.0004085,0.0004085,0.0004085
70,70.8112,0.03261,0.84062,1,0.62231,0.000396125,0.000396125,0.000396125
71,71.7263,0.04544,0.85312,1,0.65723,0.00038375,0.00038375,0.00038375
72,72.9523,0.02893,0.84688,1,0.68457,0.000371375,0.000371375,0.000371375
73,73.8015,0.02929,0.85,1,0.61304,0.000359,0.000359,0.000359
74,74.6452,0.02896,0.85312,1,0.59204,0.000346625,0.000346625,0.000346625
75,75.704,0.03361,0.85938,1,0.46887,0.00033425,0.00033425,0.00033425
76,76.6709,0.03533,0.85625,1,0.49609,0.000321875,0.000321875,0.000321875
77,77.603,0.02427,0.85625,1,0.53711,0.0003095,0.0003095,0.0003095
78,78.6643,0.0273,0.84062,1,0.57275,0.000297125,0.000297125,0.000297125
79,79.6756,0.02487,0.84375,1,0.57373,0.00028475,0.00028475,0.00028475
80,80.6915,0.0301,0.85,1,0.67456,0.000272375,0.000272375,0.000272375
81,81.7622,0.03732,0.84062,1,0.59839,0.00026,0.00026,0.00026
82,82.8057,0.03942,0.85,1,0.60449,0.000247625,0.000247625,0.000247625
83,83.7696,0.01959,0.84375,1,0.61157,0.00023525,0.00023525,0.00023525
84,84.6631,0.02932,0.85,1,0.59863,0.000222875,0.000222875,0.000222875
85,86.2942,0.02736,0.85625,1,0.60913,0.0002105,0.0002105,0.0002105
86,86.9808,0.02458,0.85625,1,0.54419,0.000198125,0.000198125,0.000198125
87,87.7858,0.01565,0.85625,1,0.52869,0.00018575,0.00018575,0.00018575
88,88.6519,0.01414,0.8625,1,0.58081,0.000173375,0.000173375,0.000173375
89,89.5926,0.02125,0.8625,1,0.62012,0.000161,0.000161,0.000161
90,90.6647,0.02346,0.85938,1,0.53467,0.000148625,0.000148625,0.000148625
91,93.3706,0.02359,0.85938,1,0.6499,0.00013625,0.00013625,0.00013625
92,94.425,0.01762,0.85938,1,0.5271,0.000123875,0.000123875,0.000123875
93,95.3364,0.0304,0.8625,1,0.59131,0.0001115,0.0001115,0.0001115
94,96.382,0.02004,0.85938,1,0.66162,9.9125e-05,9.9125e-05,9.9125e-05
95,97.4016,0.0271,0.85312,1,0.50012,8.675e-05,8.675e-05,8.675e-05
96,98.4188,0.02166,0.85938,1,0.62769,7.4375e-05,7.4375e-05,7.4375e-05
97,99.4668,0.01942,0.85938,1,0.4873,6.2e-05,6.2e-05,6.2e-05
98,100.418,0.01729,0.85938,1,0.62744,4.9625e-05,4.9625e-05,4.9625e-05
99,101.496,0.03013,0.85625,1,0.521,3.725e-05,3.725e-05,3.725e-05
100,102.655,0.01773,0.85625,1,0.59766,2.4875e-05,2.4875e-05,2.4875e-05
